originalSentence,referenceSentence,tamperingType,tamperedSentence,"LLMScore (Sim, Con)",BLEU,METEOR,Rouge1 r,Rouge1 p,Rouge1 f,Rouge2 r,Rouge2 p,Rouge2 f,Rougel r,Rougel p,Rougel f,LLM-Sim,LLM-Con,originalLanguage
"fru formand, jeg vil gerne først give dem en kompliment for den kendsgerning, at de har holdt deres ord, og at antallet af tv-kanaler på vores kontorer faktisk er udvidet enormt nu i denne første mødeperiode i det nye år.","madam president, i would firstly like to compliment you on the fact that you have kept your word and that, during this first part-session of the new year, the number of television channels in our offices has indeed increased considerably.",Letter Removal,"fru formand, jeg vil gerne først give dem en kompliment for den kendsgerning, at de har holdt deres ord, og at antallet af tv-kanaler på vores kontorer faktisk er udvidet enormt nu i denne første mødeperiode i det ny år.","(0.99, 0.95)",0.9463168195735856,0.9772,0.9736842105263158,0.9736842105263158,0.973684205526316,0.9487179487179488,0.9487179487179488,0.9487179437179488,0.9736842105263158,0.9736842105263158,0.973684205526316,0.99,0.95,da
"endelig forekommer det mig, at den sjette periodiske rapport fremsætter interessante argumenter med henblik på et sandt bæredygtigt og afbalanceret udviklingsprojekt for europa, bl.a når den sammenfatter vigtigheden af forholdet mellem det centrale europa og områderne i den yderste periferi.","finally, in my view, this sixth periodic report presents interesting arguments from the viewpoint of a real project for the balanced sustainable development of europe, particularly when it outlines the importance of relations between the central areas of europe and its more remote regions.",Word Removal,"endelig forekommer det mig, at den sjette periodiske rapport fremsætter interessante argumenter med henblik på et sandt bæredygtigt afbalanceret udviklingsprojekt for europa, bl.a når den sammenfatter vigtigheden af forholdet mellem det centrale europa og områderne i den yderste periferi.","(0.99, 0.99)",0.9391156189585852,0.979,1.0,1.0,0.999999995,0.95,0.9743589743589745,0.9620253114564974,1.0,1.0,0.999999995,0.99,0.99,da
"kun ved en målrettet anvendelse af denne type foranstaltninger vil man kunne afskaffe den sociale og regionale ulighed, som ikke er det historiske resultat af uundgåelige skavanker, men slet og ret af marginalisering og af økonomiske politikker med negative følgevirkninger.","only through the decisive application of this kind of measure will we be able to overcome social and regional inequality, which is not the historical product of inherent defects but of marginalisation and economic policies which have had harmful effects.",Negation Removal,"kun ved en målrettet anvendelse af denne type foranstaltninger vil man kunne afskaffe den sociale og regionale ulighed, som er det historiske resultat af uundgåelige skavanker, men slet og ret af marginalisering og af økonomiske politikker med negative følgevirkninger.","(0.95, 0.95)",0.9391156189585852,0.979,0.9714285714285714,1.0,0.9855072413778618,0.9487179487179488,0.9736842105263158,0.9610389560398044,0.9714285714285714,1.0,0.9855072413778618,0.95,0.95,da
"jeg vil sige, at vi i denne forbindelse bør tage ved lære af usa, hvor flid stadig er in, og succes er et tegn på kompetence og ikke genstand for misundelse, som det ofte er hos os i europa.","finally, i would say that in this matter we should learn a lesson from america, where hard work is still in fashion and success is an indication of ability and not the object of envy, as it often is here in europe.",Negation Removal,"jeg vil sige, at vi i denne forbindelse bør tage ved lære af usa, hvor flid stadig er in, og succes er et tegn på kompetence og genstand for misundelse, som det ofte er hos os i europa.","(0.85, 0.95)",0.9405662491609416,0.9794,0.9714285714285714,1.0,0.9855072413778618,0.9473684210526316,0.972972972972973,0.9599999950008888,0.9714285714285714,1.0,0.9855072413778618,0.85,0.95,da
"jeg har bemærket, at kommissionen på det seneste har gjort en indsats for at sørge for, at dette princip bliver overholdt på en ordentlig og effektiv måde, netop for at bevare markedernes fleksibilitet, både hvad angår varer og tjenesteydelser.","recently, i have noticed that the commission has been working hard to ensure that this principal is respected in a proper and effective manner, precisely in order to safeguard market flexibility, both for products and for services.",Letter Removal,"jeg har bemærket, at kommissionen på det seneste har gjort en indsats for at sørge for, at dette princip bliver overholdt på en ordentlig og effektiv måde, netop for at bevare markedernes fleksibilitet, både hvad angår varer o tjenesteydelser.","(0.99, 0.99)",0.9463168195735856,0.9769,1.0,0.96875,0.984126979128244,0.945945945945946,0.945945945945946,0.945945940945946,1.0,0.96875,0.984126979128244,0.99,0.99,da
"vi må have regeringerne til at øge de økonomiske ressourcer, der er nødvendige for at sikre os en effektiv kontrol, og vi må få dem til at holde op med at trække behandlingen af sikkerheden til søs i langdrag.",we need our governments to put up the financial resources needed to give us effective control and we need them also to stop dragging their feet when it comes to maritime safety.,Letter Replacement,"vi må have regeringerne til at øge de økonomiske ressourcer, der er nødvendige for at sikre os en effektiv kontrol, og vi må få dem til at holde op med at trække bezandlingen af sikkerheden til søs i langdrag.","(0.98, 0.95)",0.9370011451812968,0.9761,0.96875,0.96875,0.968749995,0.9444444444444444,0.9444444444444444,0.9444444394444445,0.96875,0.96875,0.968749995,0.98,0.95,da
"disse emner skal naturligvis behandles på verdensplan, men de nuværende internationale regler i den internationale søfartsorganisation er højst utilstrækkelige og alt for eftergivende, og hverken vores lande eller fællesskabet har trods tidligere katastrofer forsøgt med stædighed at gøre dem strengere.","obviously, such matters should be handled at world level, but the current international regulations of the imo are far from adequate and are far too loose, and neither our own countries nor the community have tried determinedly to make them stricter, despite previous disasters.",Letter Order Swapping,"disse emner skal naturligvis behandles på verdnesplan, men de nuværende internationale regler i den internationale søfartsorganisation er højst utilstrækkelige og alt for eftergivende, og hverken vores lande eller fællesskabet har trods tidligere katastrofer forsøgt med stædighed at gøre dem strengere.","(1.00, 1.00)",0.9385522307631308,0.9767,0.9736842105263158,0.9736842105263158,0.973684205526316,0.9487179487179488,0.9487179487179488,0.9487179437179488,0.9736842105263158,0.9736842105263158,0.973684205526316,1.0,1.0,da
"hr. formand, kære kolleger, det uvejr, der hærgede frankrig natten mellem den 26. og 27. december, kostede, som det allerede er blevet nævnt, 90 mennesker livet, og skaderne beløber sig til 75 milliarder francs eller 11 milliarder euro.","mr president, the storms which devastated france during the night between 26 and 27 december have caused, as has been said, 90 deaths and damage to a value of ff 75 billion, i.e. eur 11 billion.",Letter Replacement,"hr. formand, kære kolleger, det uvejr, der hærgede frankrig natten mellem den 26. og 27. december, kostede, som det allerede er blevet vævnt, 90 mennesker livet, og skaderne beløber sig til 75 milliarder francs eller 11 milliarder euro.","(1.00, 1.00)",0.9440602839389668,0.9787,0.9714285714285714,0.9714285714285714,0.9714285664285714,0.945945945945946,0.945945945945946,0.945945940945946,0.9714285714285714,0.9714285714285714,0.9714285664285714,1.0,1.0,da
"de nøjes med, hr. kommissær, og det forstår vi godt, at henvise til en hypotetisk mulighed langt ude i fremtiden for at drage fordel af strukturfondene i medfør af mål 2 eller overgangsordningen for mål 2 eller 5b.","we know full well that what you are doing, commissioner, and that is, limiting yourself to giving us the hypothetical and remote possibility of benefiting from the structural funds of the new objective 2 or from the provisional objectives 2 or 5b.",Random Word Addition,"de nøjes med, hr . kommissær, og kælke det forstår vi godt, at henvise til en hypotetisk mulighed langt ude i fremtiden for at drage fordel af strukturfondene i medfør af mål 2 eller overgangsordningen for mål 2 eller 5b.","(0.95, 0.98)",0.940028651976138,0.9976,1.0,0.96875,0.984126979128244,0.9714285714285714,0.9444444444444444,0.9577464738742314,1.0,0.96875,0.984126979128244,0.95,0.98,da
"denne tillidskrise har ligeledes haft den uheldige, men uundgåelige virkning, at den har undergravet forbrugernes tillid til de systemer og institutioner på nationalt og europæisk plan, der skal overvåge og sikre de højeste standarder med hensyn til fødevaresikkerhed.",this crisis of confidence has also had the unfortunate but inevitable effect of eroding the trust of consumers in the systems and institutions at national and european level that should monitor and assure the highest standards of food safety.,Letter Replacement,"denne tillidskrise har ligeledes haft den uheldige, men uundgåelige virkning, at den har undergravet forbrugernes tillid til de systemer og institutioner pz nationalt og europæisk plan, der skal overvåge og sikre de højeste standarder med hensyn til fødevaresikkerhed.","(0.99, 0.95)",0.9370011451812968,0.9761,0.96875,0.96875,0.968749995,0.945945945945946,0.945945945945946,0.945945940945946,0.96875,0.96875,0.968749995,0.99,0.95,da
